content,score,at
"makin ke sini internetnyaaa jeleeeeeeek, gak kek awaaal bagus, udah make lebih dari 6 bulan, makin jelek",2,14/08/2022 17:05
Adain lbh bnyk promo kouta dong min 😁,5,14/08/2022 13:46
"pilihan kuota baik yang utama maupun add-on terbates banget, tampilan aplikasi kurang menarik",3,14/08/2022 11:20
Puassssss.....!,5,14/08/2022 11:02
"Kenceng di awal doang, setelah 1/2 paketnya habis, kecepatan internenya akan turun super drastis",1,14/08/2022 10:30
"Baru pertama menggunakan Live.on sinyal bagus untuk di daerah saya untuk download dapet sekitar 2-6 Mbps streaming jg tidak buffering dan belum ada kendala karena baru mungkin, apabila ada kendala saya akan sunting ulasan ini.",5,14/08/2022 05:01
"Jaringan bagus, yang paling ok sisa kuota ga hangus 😅",5,14/08/2022 03:40
Bagus aplikasinya gak ribet las les las les cepet.. cuma mungkin varian paket interntetnya di perbanyak lagi apa ya jadi kita lebih banyak pilihan. Dan jangan lupa kualitas jaringan di pertahankan.. thks,5,14/08/2022 02:51
"Pesan kartu liveon,smpe detik ini tdk ada jg,hya di blg lg di proses,di lacak di jne sdh delivered,tp tdk tw kemana arahx dan tujuan it,sungguh sangat mengecewakan",1,14/08/2022 01:55
"Kouta banyak,sinyal kenceng banget.",5,14/08/2022 01:25
Internet bagus di kota di pelosok jelek,5,14/08/2022 00:25
Percobaan,5,13/08/2022 21:52
"Mantaappp.. Paket gk pernah hangus, akumulasi jk ada sisa,. Hanya saja signal dan kecepatan internet dlm 2 bln ini lelet bngt.. Klu udh ok speed inetnya bintang sy naikin. Sementara 2 aja dlu buat evaluasi...",2,13/08/2022 20:49
Apk jelek gk guna jangan didownload paket live on mahal2 sama kayak paket Telkomsel jaringannya juga jelek banget lagi nyesel gua download buang2 kuota developernya yg untung mohon perhatian jangan didownload,1,13/08/2022 19:57
Mantap,5,13/08/2022 17:07
Jaringan susah kali,1,13/08/2022 15:30
Kapan support e sim ?,1,13/08/2022 15:24
"Ampas, cs balas lama",1,13/08/2022 12:22
Quotanya tdk takut habis dan jaringannya tidak takut lelet..,5,13/08/2022 10:41
"ternyata cuma nipu , total kuota di aplikasi masih ada 46gb , tpi dapat sms kuota sudah terpakai 100% , padahal saya cek kuota masih 46gb apa ini akumulasi sisa2 kuota sebelm nya ? tpi buat apa di cantumin akumulasi kuota yg tersimpan klo ga bisa di pake sama aja nipu org , saya kira kuota masih bnyk , ternyata udh ga bisa kepake , kecewa bgy",1,13/08/2022 06:59
"Saat ini sinyal penuh tapi speed cuma di bawah 1 Mbps (lemot). Kuota masih banyak 47 GB. Apa skrg speed di batasi ya. Masa aktif masih 18 hari .Sebelumnya sih kencang speed 25 Mbps. Tolong kasih penjelasannya , jgn diam aja.",1,13/08/2022 06:19
Jaringan macem tai,1,13/08/2022 05:26
Tidak biaa registrasi,1,13/08/2022 00:49
"Mohon di perbaiki tentang kuota dan speednya memang saya beli 35 gb dpt 75 soalnya sudah termasuk bonus kuota tiap bulan selama 6 bulan TAPI di saat sisa kuota sekitar 40 gb kurang lebih segitu malahan tidak bisa buka aplikasi apappun kecuali streaming sprti youtube lancar2 aja.. setelah saya beli add on kuota langsung lancar semula tidak bisa buka langsung bisa buka semua, akibatnya kuota akan mubazir..",4,13/08/2022 00:37
Gacocok buat game kompetitif.,1,12/08/2022 23:25
Bagus sinyal mantap👍👍👍,5,12/08/2022 23:17
"jaringannya suka tiba-tiba hilang sendirinya, langsung berubah ke E dari 4G. switch internet ke kartu XL biasa, lancar jaya. aneh, padahal menggunakan jaringan XL axiata juga. emang live on nya yg bermasalah. mirip sama kasusnya Axis, padahal sama-sama menggunakan jaringan XL axiata. ada harga ada kualitas emang, opss.",3,12/08/2022 15:53
"promo perdana murah,,tapi untuk yg pelanggan setia mahal bet",1,12/08/2022 14:03
"Tidak di sarankan untuk di gunakan di pakai, di jakarta dengan device baru & suport 5G juga Tapi di pakai untuk tlp wa aja putus putus, sinyal busuk banget apakabar kalau yg di kampung harga paket di bawah provider lain tapi gak murah juga,",1,12/08/2022 12:30
Sinyal jelek kuota mahal mending by.u,1,12/08/2022 11:51
Cs paling slow respon yg pernah saya hubungi,1,12/08/2022 10:37
"Sinyal bagus untuk daerah sy.. Syg detail kuota gak ada. Campur aduk semua Jd gak tau ternyata kuota utama sisa brp, kuota streaming sisa brp. Dah lah... Gue balik ke si merah",2,12/08/2022 10:30
"tidak bisa login no hp,, pdhl no live on ud aktip",1,12/08/2022 08:21
Saya pesan perdana melalui aplikasi kok bisa salah kirim. Sampai sekarang saya blm terima perdana nya.....,1,12/08/2022 08:07
"Profinder terbaik yg pernah sy jumpai . Paket data nggak hangus jk lewat dr masa aktif, Harga paket sangat murah 100gb cm 75rebu rupiah . Sy akan terus pakai LIVE ON selama tdk ada perubahan harga kedepannya Makasih",5,12/08/2022 06:55
Bintang 1,1,12/08/2022 06:39
Simpel dan ringan,5,12/08/2022 06:35
Keterangan kuotanya kurang jelas,2,12/08/2022 03:04
"Detail kuota ngga ada, jadi nggak tau kuota utama habis berapa",2,12/08/2022 00:58
"jaringannya kurang bagus, jaringan kurang luas, di daerah terpencil susah sinyal, di dalam rumah sinyal hilang, didalam rumah akses internetpun tidak ada...",1,12/08/2022 00:27
"Sdh cukup bagus aplikasinya..hanya saran saya sisa kuota nya tolong diberikan perincian..spt brp sisa kuota utama,brp sisa kuota streaming/add on..yg sekarang ini digabung semua..dan tolong adakan kuota yg lbh lbih kecil dan lebih murah..yg harian atau mingguan spt xl..jaringan tingkatkan lagi untuk sinyal dan internet nya..makasih",4,11/08/2022 22:56
tidak bisa isi pulsa kenapa,2,11/08/2022 19:41
Harus coba live on sekarang,5,11/08/2022 16:22
"Sangat luar biasa , kalian prlu cbaaa",5,11/08/2022 16:19
"Sebetulnya kalo soal pelayanan udah bagus, kekuranganya adalah daftar menu harga paketan yang terlalu sedikit. Tolong buat developer tambahiin menu harga paketan lagi, terutama untuk harga 50.ribu kebawah, biar kalangan menengah kebawah juga bisa membeli harga paketan yang terjangkau. Terima kasih.",1,11/08/2022 16:06
Pemakaian pertama jaringan internet ny luar biasa cepat.tapi selang beberapa hari jaringan internet nya lemot bangat.parah bngt,2,11/08/2022 14:14
"percuma kuota banyak tapi koneksi kayak gaada towernya, cuan doang anda pt xl muhasabah cok",1,11/08/2022 13:56
Koneksi tidak stabil padahal dikota,1,11/08/2022 13:49
Ohh bner liat bnyak review emang lelet bangeet.. Main ig aja muter2 haduuuh.. Lemooooot..,2,11/08/2022 13:20
tolong lah untuk perbaharui paket gak loading terus,3,11/08/2022 12:45
"Beli kuota mahal"" sinyal nya kaya keong, Lemot, Awal"" doang bagus, Hampir tiap malem sinyal hancur",1,11/08/2022 12:04
CS PALING LEMOT SEDUNIA,1,11/08/2022 09:57
Dari kemaren aktivasi kartu aja susah banget gabisa bisa males pakenya lagi,1,11/08/2022 09:25
"1. HARGA PAKET MAHAL (Tapi kalo jaringan bagus dan stabil ga masalah mahal juga) 2. Sayang nya jaringan LEMOT, DELAY, LAG, LOOP - LOOP, PATAH - PATAH!!! (Ini yg bikin jadi masalah udh harga mahal jaringan jelek) 3. Signal Sering Eror Mati Sendiri Apalagi Pas Mati Lampu (Ini sih yang bikin kurang ajar) NB : Saya pakai Live.On udh 1 Tahun, Awalnya Good sampai sya rekomendasi kan ke keluarga besar sya & smua pakai Live.On, kurang baik apa sya bantu promosiin.. Tapi Makin Kesini Sekarang Kecewa!!!",1,11/08/2022 06:03
Lancar cepat murah,5,11/08/2022 03:36
Bagus,5,10/08/2022 23:35
Ok,5,10/08/2022 22:57
Mantul,5,10/08/2022 20:23
Mantap 👍👍,5,10/08/2022 18:40
Sinyalnya perbaikilah bukannya di perbaiki malah tambah buruk gimana si😡,1,10/08/2022 16:04
Kuota masih 30 GB tapi dapat pemberitahuan kuota habis. Gak jelas pembagiannya. Sepertinya bulan terakhir pakai Live.ON saya,1,10/08/2022 15:35
"Kartu gak pakai ribet, sinyal kuat plus gak bikin kantong kering",5,10/08/2022 13:02
Istirahat dulu pake live on. Kena prank sisa kuota besar cuma bisa STREAMING. Untung belum ngajak teman pake ini.,1,10/08/2022 12:05
Penggunaan tidak efektif saat memasukkan nomor pesanan jika beli dari e-commerce soalnya sulit bedakan antara 0 sama O nya,1,10/08/2022 11:55
"Baru beli udah dibuat kesel njir, masa ngga bisa KYC trus live chat balasnya lama bgt,,payah nih pelanggan baru udh dibuat kecewa",1,10/08/2022 08:03
Signal cukup kuat bahkan di basement sekalipun. Semoga makin luas area signal stabilnya,5,10/08/2022 06:49
"untuk aplikasi masih kurang sempurna, untuk ngetik alamat aja masih ngelag",2,10/08/2022 04:14
pelayanan buruk,1,10/08/2022 04:00
Good,5,10/08/2022 03:51
"Agak ribet apk nya. Mau log in aja susah nya ya Allah, padahal nomor sudah benar. Tolong perbaiki, terima kasih 🙏",1,09/08/2022 18:00
"Detail paket masi kurang lengkap kususnya add on, Sinyal di daerah Situbondo Panarukan masi kurang bagus (cuma dapat 0-2 bar).Kecepatan lumayan tapi ada waktu ketika tidak biasa di pakai (internetnya) walau sinyal nya bagus dan paketnya masi ada.",3,09/08/2022 16:16
Bagus,5,09/08/2022 15:28
"Banyak erorr, susah login, bug login, stuck login, jumlah kuota ga sesuai 👍",1,09/08/2022 13:08
Dc j trus,1,09/08/2022 12:53
Sinyalnya tolong di perbaiki mau buka aplikasi aja lemot,1,09/08/2022 12:39
Ko saya ngga dapat kuota dari akumulasi bulan kemarin sih? Udh di mode pesawat dan direstart tetep segiti,1,09/08/2022 07:34
"Nyesel beli perdana live on sampe 4, sinyal ancur semua, kartu perdana yang jaringannya tertaik yg pernah gue pake, gue habisin duli nih kuota live on nya dan habis tuh nggak mau pake kartu live on lagi, misal lu kasih gue kuota 100gb gratis gue tetap ogah pake live on, live on jaringan kayak taik, gue doain cepet bangkrut nih live on.",1,09/08/2022 07:10
"Kalau Saya masalah sinyal baik2 saja,diperjalanan pun sama bagusnya. Seminggu sekali Saya diperjalanan antara Garut_Jakarta. Hanya sekali saja di Tol pernah down ke 3G. Kendala Saya sbb: Tidak ada menu hapus untuk notifikasi di Apk nya.",4,09/08/2022 06:33
"kuota msh 30gb ss 5 hari malah diakalin dibikin lemot, kl niat tuh kuota bisa dihabisin",1,09/08/2022 05:43
"Harga sama jaringan sudah bagus, tapi tolong menu paketannya diperbanyak lagi.",5,09/08/2022 04:35
Good,5,08/08/2022 17:21
"Udh Bagus,nmbh saran aja pilihan paketnya diperbanyak lagi, yg sekarang masih kemahalan buat sebagian org",5,08/08/2022 14:05
"Terputus putus,biar kuota banyak juga,melambat",1,08/08/2022 13:52
"Siip,,byk bonus",5,08/08/2022 12:43
Mantulll,5,08/08/2022 10:02
live.on memang ok bgt.👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5,08/08/2022 09:57
"Provider paling tidak bertanggung jawab, ngiklan ke yutuber kuat, giliran registrasi gagal mulu, komplain ke live chat katanya masalah dukcapil, logika lah bos, kalo dukcapil bermasalah pasti gue ga bisa registrasi juga di provider lain. Provider lain aja bisa. Minta refund ga bisa. Untung gue ga beli nomor EMAS. Tutup aja",1,08/08/2022 09:54
Lumayan besar kuotannya,5,08/08/2022 04:35
Bangsaattttt kuota tipu2,1,08/08/2022 01:43
"Tolong kalo bisa tambah ada opsi inovasi paket 1 Tera (1000GB) untuk 1 tahun (12 bulan), tambah keren lagi 1 tahun gk galau mikirin paket internet abis gass polll👌🏻👍🏻",5,08/08/2022 00:59
"SAYA MAU BELI NOMER BARU. SUDAH ISI LENGKAP FORM DAN PILIH NOMER, EH PAS MO BAYAR GAK BISA DI-KLIK TOMBOL PEMBAYARAN. PAS SAYA BALIK, EH NOMER YANG SAYA PILIH SEBELUMNYA, HILANG DONG!!!!!! SANGAT MENGECEWAKAN",1,07/08/2022 22:50
Buruk.,1,07/08/2022 17:27
"Setelah sekian lamanya kini..dan akhirnya ada juga provider internet yg mengerti akan kebutuhan gw.. Recomended banget ini,nyesel lo klo gk pake..anti batasan batasan untuk berkreasi..lanjutkan pencapaian lewat live on..go internet go live on.",5,07/08/2022 17:05
"Aplikasi simple tapi terlu simple, sampai nomor aja gak di tunjukin. Pilihan kuota sedikit sekali, gak sesuai di website. Signal dan speed B aja.",1,07/08/2022 17:03
Pilihan paketnya kurang beragam,4,07/08/2022 16:01
Ngegas trussss,5,07/08/2022 15:29
Mantap ini baru internet stabil,5,07/08/2022 15:26
"Statistick pemakaian data app sama streaming gada, jadi gtau mana data yg dipakai mana yg engga",1,07/08/2022 14:28
"KARTU TOLOL,SINYAL RENDAH BANGET,BEDA SAMA TELKOMSEL YANG BAGUS,KARTU TOLOL GAUSH DI BELI",1,07/08/2022 13:28
Kuota mantap internet nya lancar jaya tanpa ribet pokoknya the best lah buat XL live.on,5,07/08/2022 13:03
Mantaf,5,07/08/2022 11:45
Mantap internetnya on terusss 👍👍👍,5,07/08/2022 11:34
apa yang bisa dibanggakan dari aplikasi kaya gini?,1,07/08/2022 11:18
"Kelebihan: Sinyal kalo di kota bagus. Kuota Bisa di pakai di bulan berikutnya. Kekurangan: sinyal kalo di kampung kurang stabil. Tapi klo operator lain biasa aja. Dan Tolong Tambahin paket xl pass, seperti xl yang biasa untuk di negara Saudi Arabia. Karena banyak orang Indonesia yang pergi ke negara tersebut. Kan lumayan bisa jadi pemasukan keuangan.",4,07/08/2022 10:35
Ok,5,07/08/2022 08:49
Lemot,1,07/08/2022 06:34
Ketika kuota utama bulanan habis 100% tapi kuota tabungan sisa berbulan-bulan lalu gak bisa dipake itu buat apa? Tagline produk bisa nabung kuota gk hangus sampai 1TB tapi kok bohong. Kecewa. Saya merasa dirugikan langganan live on 1 tahun lebih ternyata kuota tabungan ratusan gb gk bisa dipake.,1,07/08/2022 06:11
"Kartu yang buruk, sistem verifikasi yang buruk dan costumer service yang buruk.",1,07/08/2022 05:49
Aplikasi sering eror kalo dibuka,1,07/08/2022 05:16
"Aplikasi gajelas verivikasi susah bener, ditanya yang bales bot muluu",1,07/08/2022 05:08
Kartu yang saya beli belum sampai Tapi sudah dapai email sampai di alamat penerima,1,07/08/2022 04:10
Oke,5,07/08/2022 03:15
"Daftar ribet banget,unreg kartu susah",1,07/08/2022 01:34
"Ini baru pertama coba liveon ,sinyal nya luar biasa cepat , tapi melihat harga paket isi ulang nya relatif mahal",4,06/08/2022 22:28
kuota masih 40 an gb eh ada notif udah ais aja.. hadeh gimana sih????,2,06/08/2022 22:05
Mantappp...,5,06/08/2022 21:46
"GAK REKOMENDASI pkai ini. Di BSD, Gading Serpong, Citra Maja Raya sinyal ilang bhkan smpai tanda X. Maret - Skrg mslh. Pernah lapor minta kunjungan hingga sampe kunjugan 2x oleh petugas, tapi seolah-olah 'manipulasi' sinyal. H-3 atau H-1 sinyalnya tiba-tiba muncul dan kuat, di survey petugas seolah-olah sinyal kuat dan tidak bermasalah. Tapi H+3 behh, Sinyal drop dan kembali seperti semula. Saya lapor email berkali kali, dan sampai akhirnya aku capek, Kesel, Kecewa. Dan sekarang, udah gk pake.",1,06/08/2022 14:37
"Burik n buruk banget beli kuota aja masa aktif ga bertambah ga seperti kartu yg lain pelayanan pun lola, bukannya mempermudah klo kartu ini mah.",1,06/08/2022 12:37
Saya sangat suka,5,06/08/2022 07:49
Bagus banget,5,06/08/2022 06:28
"Respon admin nya lama, proses UNREG pun lama ,low respon .kntl lah",1,06/08/2022 04:54
👍,5,06/08/2022 04:07
"Jelek bener Signal, Jakarta loh❓ jd nyesel pake lagi. Dr mlm ampe skrg signal internet 👎. Kel. Petamburan, Kec. Tanah Abang Jakarta Pusat.",1,06/08/2022 02:12
"Pembodohan publik, beli yg 20gb di toped pas selesai regis dpet 50gb total 70gb gw kira 70gb full kuota utama, ternyata 50gb buat streaming doang MENDING GAUSAH KASIH BONUS LEB SELEB PERCUMA",1,06/08/2022 00:27
Untuk area Jaktim jaringannya ngeleg,1,05/08/2022 16:41
"jelekkk ,, sinyal lemot , NOT REKOMENDED",1,05/08/2022 14:04
Mantul banget paketnya,5,05/08/2022 10:46
"Semoga tetap bagus ya pelayanannya, good.. untuk sinyal di beberapa wilayah Jakarta Selatan agak kurang bagus. Tolong di perbaiki.",5,05/08/2022 08:44
Mantap,5,05/08/2022 05:53
Tidak ada detail kuotanya..padahal biasanya ada..kenapa sekarang jadi hilang untuk melihat detail kuotanya?,2,05/08/2022 04:58
Kuota besar tp cepet Abis...jelek niee...masa simpati Kouta LBH kecil kok sama abis nya...hoax,1,05/08/2022 03:40
"👍👍👍👍👍 ga bisa ber-kata2, 5 jempol pokok e",5,05/08/2022 03:02
Mantap,5,05/08/2022 01:29
Jaringan terbaik,5,04/08/2022 21:12
Bagus,5,04/08/2022 15:29
Hebat langsung dpt bonus teros,5,04/08/2022 13:49
Mantabbbbb,5,04/08/2022 12:38
"Saya pakai LIVE ON udh 1th kebelakang sblm menulis ini .Ubah system bonus kuota formalitasnya (MENIPU) sekarang juga .masa saya beli 80k(35GB) tertera di aplikasi nya 75GB (TANPA KETERANGAN) TETAPI yg bisa di pakai ttp (35GB) sisanya klo di test speed cmn dpt 0,01Mbps .BWT APA 0,01Mbps ?????????? WA aja g bsa .btw posisi TOWER XL DKT dr sini .",2,04/08/2022 12:32
"Bintang 3 Dulu. 1. Detail Kuota Kurang Informatif Jadi gak kelihatan mana kuota utama, Kuota Bonus, Kuota Bonus Referal dll. 2. Pilihan paket kurang variatif, Harganya mahal2, tolong adakan paket yg murah dengan kuota kecil karena gak semua orang butuh kuota gede ( Hanya untuk diluar rumah aja, karena di rumah wifi, dikantor wifi) 3. Layanan CS Tolong diperbaiki, di aplikasi kadang erorr, chat di web baru bisa tapi kadang jawabannya kurang nyambung 🗿 Sekian terimagaji",3,04/08/2022 12:29
Min kasi diskon dong:),5,04/08/2022 12:03
Aku pikir bagus ternyata ancur jaringan..,1,04/08/2022 10:06
"Saya pakai nomer Live.on untuk Daftar JKN, dan ternyata nomer Live.on tidak bisa dipakai nerima SMS, jadi tidak bisa nerima SMS OTP dari BPJS",1,04/08/2022 09:45
Semoga kedepannya lebih ok lg,5,04/08/2022 04:17
Sinyal lemot,1,04/08/2022 04:03
Tambahim promo dong !!! Hihi,5,04/08/2022 02:42
Mantap jaringan oke banget,5,03/08/2022 20:59
Tolong sinyal nya di perbaiki lagi lah.massa buat main game online lag terus.padahal baru isi Kouta,1,03/08/2022 14:15
"udah perbarui paket, total kuota 80an gb + sinyal 4g, tapi koneksi sangat lambat.",1,03/08/2022 14:01
Parah muter²e bae kaya kitiran,1,03/08/2022 12:09
Keren,5,03/08/2022 10:34
"utk sementara sy ksh bintang 4 dulu, aplikasi ok simple, ringan. paket data sesuai deskripsi, speed di jam 16:00 tembus 10 - 11 Mbps (dipakai streaming juga) semoga semakin baik utk ke depannya..",4,03/08/2022 09:12
"Percuma komplen ke cs masalah keluhan sinyal hilang selama 1 bulan ga pernah di perbaiki,sangat tidack ramah",4,03/08/2022 07:33
"saya daftar n saya pesan sim card via web n dpt nomor telp nya (saya milih nomor gratis), Alhamdulillah kartunya dh dtg, tapi pas saya ke aplikasi katanya no saya ini tidak terdaftar... gmn dong ini....",5,03/08/2022 07:07
"Kenapa uda 2minggu ini sinyal 4G nya suka hilang terus ya.. ,tolong di perhatikan&di perbaiki biar kita ga pindah ke provider lain",4,03/08/2022 06:03
Bagus jaringan nya,5,03/08/2022 05:39
Bagis,4,03/08/2022 04:36
Paketan rollover jd jangan takut bulan depan masih bisa dipakai,5,03/08/2022 04:26
👍👍👍👍,5,03/08/2022 00:23
Joss gandos..,5,02/08/2022 23:44
Provider mantaap,5,02/08/2022 15:37
"Awal beli sinyal lancar & bikin terlena, setelah isi ulang sinyal sering ghosting",1,02/08/2022 14:57
"Ralat deh. Ku ksh bintang 5 krna bonus reff nya jadi di kirim, kukira gk jadi, mksh live on,,, saran saya untuk informasi tolong diperjelas aja deh, jangan setengah² , udah itu aja, untuk speed di tmpt ku kencang bgt, mkah Live On",5,02/08/2022 14:17
Payah...kuota sisa banyak tapi banyak syarat untuk pakai...sinyal jelek....bapuk,1,02/08/2022 13:28
"Selama pakai Live on, belum ada kendala(aman aman), sengaja beli kartu Live On buat pasang di modem wifi, saya pakai 2 nomor Live On untuk 2 buah modem wifi",5,02/08/2022 13:05
"Kekurangan: tidak bisa (atau sangat sulit) mendapatkan kode otp. Jd tidak bisa mengetahui kuota, dsb. Opsi bantuan tidak memberikan solusi yg berguna. Tidak seperti axisnet yg sgt cepat mengirim otp. Hanya bisa mengirim otp via SMS (yg mana tdk sy dapatkan) Kelebihan: bisa digunakan untuk aktivasi nomor live.on (Tp sampai detik ini sy blm bisa log in. Pdhl bisa untuk ditelpon n SMS. Tp tdk ada otp yg sy terima). Overall sgt mengecewakan",1,02/08/2022 12:57
"KUOTA ga abis-abis,mantap tanpa di bagi-bagi",5,02/08/2022 12:30
"Proses registrasi ribet, platform sebelah modal ktp aja udah aktif. Ini harus Regis KK juga",3,02/08/2022 11:38
"Sudah melakukan pembayaran tapi paket kuota belum masuk, padahal lagi urgent,sinyal sering down tolong daerah jakarta barat diperbaiki",3,02/08/2022 08:32
"Kuota 40 giga lagi , 9 hari sebelum masa aktif udh menjdi lemot , ntah lah ngk tau kenapa ...cuma bisa buka youtube",1,02/08/2022 08:30
ok 👍🏼👍🏼👍🏼,5,02/08/2022 08:26
Buka aplikasi butuh waktu lama,3,02/08/2022 06:50
Murah,5,02/08/2022 05:54
Good,5,02/08/2022 05:40
Mantapp fitur rollover nya,5,02/08/2022 04:47
Good,5,02/08/2022 04:17
Good,5,02/08/2022 03:53
Ga ada pilihan paket jelek,1,02/08/2022 00:03
👍,4,01/08/2022 23:50
"Buat yang merasa jaringannya jelek pastikan di daerah anda jaringan XL lancar ya, karena masing2 daerah beda2 sinyal yg kuatnya, Alhamdulillah di tempat saya lancar jaya, g ada kendala, paling di kantor doang yg lelet karena emang sinyal xl g ada di kantor",5,01/08/2022 23:06
kalau bisa ditambahkan toping pilihan lebih banyak lg serta promo² menarik lainnya,5,01/08/2022 16:06
"Alhamdulillah sekitar 3 bulan pakai live on, aman",5,01/08/2022 11:53
"Bagus, saran saya kasih rincian juga pada bagian add on biar kita bisa mempertimbangkan pilihan kita. Tambahin juga fitur live chat supaya jika ada kendala, keluhan, maupun pertanyaan atau masukan bisa langsung teratasi.",5,01/08/2022 07:17
IKLAN ELITE KECEPATAN SIGNAL SULIT,1,01/08/2022 05:24
Mantap,5,01/08/2022 03:36
Ok,5,01/08/2022 00:17
Selama saya makeknya masih aman,5,31/07/2022 21:42
APLIKASI SAMPAH LEMOTTTTTT,1,31/07/2022 18:02
"Untuk layanan dan jaringan yang diberikan sangat bagus. Saya sangat senang dengan layanan jaringan XL semakin lama semaki luas, sangat cepat progresnya. Ini baru sesuai kata coach Justin ""Proses dengan progres"". Lanjutkan!!",5,31/07/2022 16:08
Mantap sinyal ok,5,31/07/2022 14:04
semua serba online thanks live.on,5,31/07/2022 06:52
"Gak kawatir lgi ,kuota abis banyak bonusny sich..jaringan wuuus. Mantap..banyak pilihan paketnya",5,31/07/2022 04:34
ampassss,1,31/07/2022 01:57
Walaupun terkadang terkendala dalam jaringan tapi tidak separah yg lain masih bagus lah live on,5,31/07/2022 00:02
"Susah d fahami aplikasinya, paket nya jg gk terlalu murah",1,30/07/2022 16:07
"Verifikasi nya sulit nya minta ampun,refresh sndri waktu buka email untuk verifikasi.dah lah percuma beli,ampunnnn mau ketik manual segitu bnyk nya,selama ini kode otp cma 6 hruf mksimal,,ini BERPULUH2 HURIF ANGKA,,dah lahhhh capek",1,30/07/2022 15:32
Untuk smp saat ini sgt puas pke data live on ini,5,30/07/2022 15:32
Jaringan masih di bawah axsis buat game jaringan merah kalo LG war. Gk rekomendasi buat game ni kartu buat sosmed sih Mayan tapi gk secepat XL pada umum nya,1,30/07/2022 14:17
Signal nya paaaaraaaaahhhggggg,1,30/07/2022 13:15
Puas,5,30/07/2022 12:33
Jaringan ny jos mantap,5,30/07/2022 09:28
Saya kasih bintang 1 dulu soalnya pemesan kartu kuota tidak sesuai dengan yang semestinya. Udah mengajukan komplain tapi belum ada tindak lanjutnya. Kalo sudah diatasi baru saya kasih full of stars. Danke schön,1,30/07/2022 07:14
Fitur yang disediakan pada aplikasi sangat buruk(bukan simcardnya),1,30/07/2022 05:09
"Tolong pisahkan kuota utama dengan kuota bonus, karena sangat membingungkan pengguna, kalau sudah di perbaiki saya naikan bintang nya",1,30/07/2022 04:51
"Sinyal jadi down, mohon untuk segera diperbaiki",1,30/07/2022 03:26
Mantap👍,5,30/07/2022 03:00
mantap,5,30/07/2022 01:48
keren banget,5,29/07/2022 23:36
Selalu gagal aktivasi,2,29/07/2022 22:27
"Sangat membantu dan bermanfaat, sekarang tidak takut kehabisan kuota lagi. Terimakasih live.on",5,29/07/2022 22:11
Setiap Jelek,1,29/07/2022 16:50
Live on buat main game sinya buruk JANGAN BELI NANTI NYESEL,1,29/07/2022 15:06
Katanya data on power on tapi ko jelek,1,29/07/2022 14:44
Diawal memang bagus tp cuman bertahan sampai 6 bulanan . Entah kenapa skrang suka lelet . Saya makai Live.On istri makai XL biasa . Pas d tes XL lebih cepat dan lebih stabil . Dan akhirnya saya memilih berhenti memakai ni kartu,1,29/07/2022 12:01
Terbaik memang live.on ini.. terimakasih,5,29/07/2022 11:12
"Hmpir satu tahun pkek live on kualitas bukanya ditingkatkan malah menurun, dulu jaringan stabil di buat main game sekarang lag parah, bye bye mending ganti provider yang lain",1,29/07/2022 10:47
Mantap,5,29/07/2022 08:18
"Jaringannya parah didaerah saya (medan timur), ditempat saya sinyalnya full 4g, tapi sering tiba2 hilang koneksi, sering tiba2 edge, sering tiba2 sinyal silang.. tolong diperbaiki dong.",1,29/07/2022 07:42
Sumpah ini keren banget,5,29/07/2022 04:58
Dimana lagi ketemu paket data yg belum habis dapat digunakan di bulan berikutnya hanya dengan menambah masa aktif aja🥰,5,29/07/2022 04:46
Pokoknya LIVEON adalah provider terbaik menurut saya,5,29/07/2022 02:48
Burik bgt kuotanya g jelas pdh masih 45 gb. Tapi g bisa di pake sma sekali. Katnya si gda pbagian nyatanya beli 75 gb tinggal 45 g bisa di pake payah mnding ke by. U lagi aja,1,29/07/2022 01:49
Sisa paket yang tidak habis ditambahkan saat perbaharuan paket. Paket data Terbaik saat ini.,5,29/07/2022 00:32
Mantap,5,28/07/2022 20:55
"Berikan detail data pada dashboard agar bisa melohat sisa kuota utama / add on, saya tdk akan mengganti rating jika tidk ada perkembangan dari apk ini",2,28/07/2022 19:26
Makin hari sinyal makin jelek,1,28/07/2022 13:27
Registrasi ribet,1,28/07/2022 11:16
"Pesen kartu perdana, malah salah kirim. Masa gk bisa nulis alamat dengan jelas bossss",1,28/07/2022 09:40
gak bakalan ke habisan kuota.. 5 jempol. .,5,28/07/2022 08:14
Bulan ini kok leg terus ya. Apakah sudah terlalu banyak yang pakai live on .jadi leg,1,28/07/2022 07:57
"Jaringan makin lama makin parah, buat main game online sangat tidak bersahabat",1,28/07/2022 07:52
"Paket elit, internet sulit",1,28/07/2022 06:47
Lumayan lah banyak bonus,5,28/07/2022 04:15
"sinyal suka tiba"" down, males banget hadehh",1,28/07/2022 04:11
Good,5,28/07/2022 03:47
Nggak ada kuota unlimited sebulan. JANCOOOOOK!!!,1,28/07/2022 01:10
Mantap,5,27/07/2022 22:47
"Baru pertama kali coba Live On ternyata bagus juga, speed upload dan download juga mantap. Saya kira bakal susah sinyal karena pernah coba pakai XL 2 tahun lalu gak ada sinyal sama sekali, ternyata sekarang ada. Saya kasih bintang 3 karena proses registrasi nya lumayan ribet, butuh koneksi internet dan email/nomor lain juga. Saran agar lebih di per simple lagi untuk aktivasinya",3,27/07/2022 22:10
